,,pass1,pass1,pass1,,pass2,pass2,pass2
,,2m smoothing,5m smoothing,10m smoothing,,2m smoothing,5m smoothing,10m smoothing
transect,transect segment,Length_m,Length_m,Length_m,,Length_m,Length_m,Length_m
H165,H165_P1_4,63.893,62.982,62.195,,63.760,62.881,62.136
H165,H165_P1_5,64.723,59.418,59.872,,64.723,59.418,59.872
H167,H167_P1_1,50.091,46.388,45.131,,50.096,46.373,45.116
H167,H167_P1_2,248.606,237.392,233.857,,247.693,237.113,233.855
H167,H167_P1_3,370.381,349.899,343.947,,366.136,349.390,343.511
H169,H169_P1_1,61.406,54.729,52.210,,61.411,54.729,52.208
H169,H169_P1_2,460.251,432.242,423.943,,456.667,432.233,424.410
H169,H169_P1_3,102.717,99.823,93.763,,102.717,99.823,93.763
H170,H170_P1_1,505.702,486.533,474.583,,505.710,486.512,474.577
H171,H171_P1_1,13.885,13.567,13.553,,13.885,13.567,13.553
H171,H171_P1_2,80.945,77.827,74.927,,80.887,77.807,74.919
H171,H171_P1_3,39.201,37.049,35.895,,39.201,37.049,35.895
H171,H171_P1_4,8.627,8.625,8.623,,8.627,8.625,8.623
H171,H171_P1_5,9.356,9.354,9.346,,9.356,9.354,9.346
H171,H171_P1_6,18.077,18.030,18.024,,18.077,18.030,18.024
H171,H171_P1_7,59.656,60.307,51.290,,59.656,60.307,51.290
H171,H171_P1_8,21.429,21.337,21.333,,21.429,21.337,21.333
H171,H171_P1_9,72.873,70.383,68.857,,72.873,70.383,68.857
H173,H173_P1_1,539.790,533.305,521.474,,539.178,533.200,521.492
L029,L029_P1_1,280.402,283.915,285.789,,280.402,283.915,285.789
L029,L029_P1_2,146.141,150.999,153.363,,146.141,150.999,153.363
